id,employee_id,date,start_datetime,end_datetime,notes,venue_id
1,1,2026-05-04,2026-05-04 09:00:00,2026-05-04 17:00:00,,1.0
2,1,2026-05-05,2026-05-05 09:00:00,2026-05-05 17:00:00,,1.0
3,1,2026-05-06,2026-05-06 11:00:00,2026-05-06 19:00:00,,1.0
4,1,2026-05-07,2026-05-07 09:00:00,2026-05-07 17:00:00,,1.0
5,1,2026-05-08,2026-05-08 17:00:00,2026-05-08 23:00:00,,1.0
6,1,2026-05-09,2026-05-09 10:00:00,2026-05-09 18:00:00,,1.0
7,4,2026-05-04,2026-05-04 17:00:00,2026-05-04 23:00:00,,2.0
8,4,2026-05-05,2026-05-05 17:00:00,2026-05-05 23:00:00,,2.0
9,4,2026-05-06,2026-05-06 17:00:00,2026-05-06 23:00:00,,2.0
10,4,2026-05-07,2026-05-07 17:00:00,2026-05-07 23:00:00,,2.0
11,4,2026-05-08,2026-05-08 17:00:00,2026-05-08 23:00:00,,2.0
12,4,2026-05-09,2026-05-09 12:00:00,2026-05-09 22:00:00,Long cover shift,2.0
13,4,2026-05-10,2026-05-10 15:00:00,2026-05-10 23:00:00,,2.0
14,6,2026-05-04,2026-05-04 10:00:00,2026-05-04 18:00:00,,1.0
15,6,2026-05-05,2026-05-05 10:00:00,2026-05-05 18:00:00,,1.0
16,6,2026-05-06,2026-05-06 10:00:00,2026-05-06 18:00:00,,1.0
17,11,2026-05-07,2026-05-07 10:00:00,2026-05-07 18:00:00,,1.0
18,6,2026-05-08,2026-05-08 10:00:00,2026-05-08 18:00:00,,1.0
19,2,2026-05-04,2026-05-04 17:00:00,2026-05-04 23:00:00,,1.0
20,2,2026-05-06,2026-05-06 17:00:00,2026-05-06 23:00:00,,1.0
21,2,2026-05-08,2026-05-08 11:00:00,2026-05-08 19:00:00,,4.0
22,2,2026-05-09,2026-05-09 17:00:00,2026-05-09 23:00:00,,1.0
23,3,2026-05-05,2026-05-05 11:00:00,2026-05-05 19:00:00,,1.0
24,3,2026-05-07,2026-05-07 11:00:00,2026-05-07 19:00:00,,1.0
25,3,2026-05-09,2026-05-09 11:00:00,2026-05-09 19:00:00,,1.0
26,5,2026-05-05,2026-05-05 16:00:00,2026-05-05 23:00:00,,3.0
27,5,2026-05-07,2026-05-07 16:00:00,2026-05-07 23:00:00,,3.0
28,5,2026-05-09,2026-05-09 16:00:00,2026-05-09 23:00:00,,3.0
29,7,2026-05-04,2026-05-04 07:00:00,2026-05-04 15:00:00,,
30,7,2026-05-05,2026-05-05 07:00:00,2026-05-05 15:00:00,,
31,7,2026-05-07,2026-05-07 07:00:00,2026-05-07 15:00:00,,
32,7,2026-05-08,2026-05-08 07:00:00,2026-05-08 15:00:00,,
33,7,2026-05-09,2026-05-09 07:00:00,2026-05-09 15:00:00,,
34,8,2026-05-06,2026-05-06 15:00:00,2026-05-06 23:00:00,,
35,8,2026-05-07,2026-05-07 15:00:00,2026-05-07 23:00:00,,
36,8,2026-05-08,2026-05-08 15:00:00,2026-05-08 23:00:00,,
37,8,2026-05-10,2026-05-10 15:00:00,2026-05-10 23:00:00,,
38,9,2026-05-08,2026-05-08 17:00:00,2026-05-08 23:00:00,,1.0
39,9,2026-05-09,2026-05-09 11:00:00,2026-05-09 19:00:00,,1.0
40,9,2026-05-10,2026-05-10 11:00:00,2026-05-10 19:00:00,,1.0
41,10,2026-05-04,2026-05-04 11:00:00,2026-05-04 19:00:00,,1.0
42,10,2026-05-06,2026-05-06 11:00:00,2026-05-06 19:00:00,,4.0
43,10,2026-05-09,2026-05-09 11:00:00,2026-05-09 19:00:00,,1.0
44,11,2026-05-04,2026-05-04 09:00:00,2026-05-04 17:00:00,,1.0
45,11,2026-05-06,2026-05-06 09:00:00,2026-05-06 17:00:00,,1.0
46,6,2026-05-07,2026-05-07 14:00:00,2026-05-07 22:00:00,,2.0
47,11,2026-05-09,2026-05-09 14:00:00,2026-05-09 22:00:00,,2.0
48,12,2026-05-04,2026-05-04 08:00:00,2026-05-04 16:00:00,,
49,12,2026-05-05,2026-05-05 08:00:00,2026-05-05 16:00:00,,
50,12,2026-05-07,2026-05-07 08:00:00,2026-05-07 16:00:00,,
51,12,2026-05-08,2026-05-08 10:00:00,2026-05-08 18:00:00,,
